Entry,Antibody name,Type,IC50,EC50,Binding Affinity (KD),Neutralizes,Viral protein:epitope,PMID,Year,Structures,Mutational profile
ABSe0001,B38,Ab,177 ng/ml, ,70.1,SARS-CoV-2,S: RBD,32404477 (),2020,7BZ5,IF0012
ABSe0002,H4,Ab,896 ng/ml, ,4.48,SARS-CoV-2,S: RBD,32404477 (),2020,,
ABSe0003,CA1,Ab,380 ng/ml, ,4.68,SARS-CoV-2,S: RBD,32454512 (),2020,,
ABSe0004,CB6,Ab,36 ng/ml, ,2.49,SARS-CoV-2,S: RBD,32454512 (),2020,7C01,IF0013
ABSe0005,P2B-2F6,Ab,50 ng/ml, ,5.14,SARS-CoV-2,S: RBD,32454513 (),2020,7BWJ,IF0010
ABSe0006,REGN10933,Ab,0.0374 ng/ml, ,3.37,SARS-CoV-2,S: RBD,32540901 (),2020,6XDG,
ABSe0007,REGN10934,Ab,0.0283 ng/ml, ,4.86,SARS-CoV-2,S: RBD,32540901 (),2020,,
ABSe0008,REGN10954,Ab,0.0922 ng/ml, ,2.38,SARS-CoV-2,S: RBD,32540901 (),2020,,
ABSe0009,REGN10964,Ab,0.057 ng/ml, ,0.564,SARS-CoV-2,S: RBD,32540901 (),2020,,
ABSe0010,REGN10977,Ab,0.0515 ng/ml, ,3.01,SARS-CoV-2,S: RBD,32540901 (),2020,,
ABSe0011,REGN10984,Ab,0.0973 ng/ml, ,5.55,SARS-CoV-2,S: RBD,32540901 (),2020,,
ABSe0012,REGN10986,Ab,0.0991 ng/ml, ,0.707,SARS-CoV-2,S: RBD,32540901 (),2020,,
ABSe0013,REGN10987,Ab,0.0421 ng/ml, ,45.2,SARS-CoV-2,S: RBD,32540901 (),2020,,
ABSe0014,REGN10989,Ab,0.00738 ng/ml, ,3.65,SARS-CoV-2,S: RBD,32540901 (),2020,,
ABSe0015,COVA1-03,Ab,420 ng/ml, ,,SARS-CoV-2,Unknown,32540902 (),2020,,
ABSe0016,COVA1-12,Ab,1300 ng/ml, ,,SARS-CoV-2,S: RBD,32540902 (),2020,,
ABSe0017,COVA1-18,Ab,8 ng/ml, ,0.9,SARS-CoV-2,S: RBD,32540902 (),2020,,
ABSe0018,COVA1-21,Ab,40 ng/ml, ,,SARS-CoV-2,S: non-RBD,32540902 (),2020,,
ABSe0019,COVA2-04,Ab,220 ng/ml, ,11.2,SARS-CoV-2,S: RBD,32540902 (),2020,7JMO,IF0084
ABSe0020,COVA2-07,Ab,29 ng/ml, ,6.4,SARS-CoV-2,S: RBD,32540902 (),2020,,
ABSe0021,COVA2-11,Ab,3700 ng/ml, ,4.8,SARS-CoV-2,S: RBD,32540902 (),2020,,
ABSe0022,COVA2-13,Ab,3200 ng/ml, ,16.5,SARS-CoV-2,S: RBD,32540902 (),2020,,
ABSe0023,COVA2-15,Ab,8 ng/ml, ,3.1,SARS-CoV-2,S: RBD,32540902 (),2020,,
ABSe0024,COVA2-29,Ab,92 ng/ml, ,3.8,SARS-CoV-2,S: RBD,32540902 (),2020,,
ABSe0025,CC12.1,Ab,19 ng/ml, ,5.92,SARS-CoV-2,S: RBD,32540903 (),2020,6XC3,IF0002
ABSe0026,CC12.2,Ab,220 ng/ml, ,54.3,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0027,CC12.3,Ab,18 ng/ml, ,8.59,SARS-CoV-2,S: RBD,32540903 (),2020,6XC4,IF0003
ABSe0028,CC12.4,Ab,110 ng/ml, ,170,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0029,CC12.5,Ab,330 ng/ml, ,,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0030,CC12.6,Ab,490 ng/ml, ,,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0031,CC12.7,Ab,260 ng/ml, ,159,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0032,CC12.8,Ab,110 ng/ml, ,,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0033,CC12.9,Ab,23000 ng/ml, ,46.6,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0034,CC12.10,Ab,70 ng/ml, ,220,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0035,CC12.11,Ab,140 ng/ml, ,255,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0036,CC12.12,Ab,1500 ng/ml, ,183,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0037,CC12.13,Ab,100 ng/ml, ,155,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0038,CC12.14,Ab,23 ng/ml, ,>500,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0039,CC12.15,Ab,3700 ng/ml, ,87.9,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0040,CC12.16,Ab,>50000 ng/ml, ,147,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0041,CC12.17,Ab,2100 ng/ml, ,175,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0042,CC12.18,Ab,16000 ng/ml, ,,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0043,CC12.19,Ab,>50000 ng/ml, ,26,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0044,CC12.23,Ab,22000 ng/ml, ,,SARS-CoV-2,S: non-RBD,32540903 (),2020,,
ABSe0045,CC6.29,Ab,2 ng/ml, ,1.2,SARS-CoV-2,S: RBD,32540903 (),2020,,
ABSe0046,CC6.30,Ab,1.3 ng/ml, ,1.71,SARS-CoV-2,S: RBD,32540903 (),2020,,
